time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1753.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1744.0,wp_3,2.0,,,,wc_3,0.0,"[('wc_2', 0.7), ('wc_4', 0.48)]",0.844,['Pass'],,,28.0,0.008236,5.0,8.0,0.235,0.39,0.3
1722.0,wp_5,3.0,wc_3,"{'Pass': 49, 'Fail': 51}",['Fail'],,,,,,50.0,,,,,,,,
1773.0,wp_3,2.0,,,,,,,,,,0.0,,,,,,,
1773.0,wp_5,3.0,,,,,,,,,,0.0,,,,,,,
1754.0,wp_1,1.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_1', 0.53)]",0.7556,['Pass'],,,21.0,0.007699000000000001,4.0,8.0,0.020000000000000018,0.48,0.4
1776.0,wp_1,1.0,,,,,,,,,,81.0,,,,,,,
1774.0,wp_3,2.0,,,,wc_5,1.0,"[('wc_5', 0.77), ('wc_1', 0.53), ('wc_3', 0.39)]",0.934059,['Fail'],,,22.0,0.05202600000000001,5.0,9.0,-0.21444444444444444,0.77,0.8
1798.0,wp_3,3.0,,,,,,,,,,83.0,,,,,,,
1774.0,wp_5,3.0,,,,wc_3,0.0,"[('wc_3', 0.39)]",0.39,['Fail'],,,40.0,0.002752,6.0,9.0,0.2766666666666666,0.39,0.3
1815.0,wp_5,3.0,,,,,,,,,,0.0,,,,,,,
1769.0,wp_2,2.0,wc_2,"{'Pass': 66, 'Fail': 34}",['Pass'],,,,,,70.0,,,,,,,,
1840.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1816.0,wp_5,3.0,,,,wc_4,0.0,"[('wc_4', 0.48)]",0.48,['Pass'],,,25.0,0.006292,4.0,9.0,-0.03555555555555556,0.48,0.4
1842.0,wp_5,3.0,,,,,,,,,,0.0,,,,,,,
1841.0,wp_2,2.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Pass'],,,29.0,0.002269,5.0,9.0,-0.14444444444444438,0.7,0.8
1871.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1843.0,wp_5,3.0,,,,wc_5,0.0,"[('wc_5', 0.77), ('wc_3', 0.39)]",0.8597,['Fail'],,,35.0,0.005901,5.0,9.0,-0.21444444444444444,0.77,0.8
1879.0,wp_5,3.0,,,,,,,,,,41.0,,,,,,,
